id;nombre;apellido;equipo;plan;categoria;fecha;distrito;vendedor;correo;promocion;monto_venta;descuento;total_con_descuento
ENT2024-00283;  Iván  ;Benítez;;Postpago 100GB;Postpago;2024-02-05;Magdalena del Mar;Vendedor 03;iván.benítez@entel.pe;2x1 accesorios;2186.89;0.2;1749.51
ENT2024-00284;  Gonzalo  ;Sánchez;Laptop HP 15;;Hogar;2024-07-10;  Callao  ;Vendedor 29;gonzalo.sánchez@entel.pe;Roaming gratis 1 mes;1823.84;0.5;911.92
ENT2024-00285;  Óscar  ;Pérez;Router 4G Entel;Postpago Ilimitado;Empresa;01/03/2024;Barranco;Vendedor 35;óscar.pérez@entel.pe;Roaming gratis 1 mes;3503.3;0.2;2802.64
ENT2024-00286;Gloria;Flores;Router 5G Entel;Prepago 10GB;Postpago;2024-01-12;  Comas  ;Vendedor 30;gloria.flores@entel.pe;Roaming gratis 1 mes;1164.62;0.1;1048.16
ENT2024-00287;  Mónica  ;Huaman;;Prepago 10GB;Prepago;2024-08-23;San Juan de Lurigancho;Vendedor 10;mónica.huaman@entel.pe;;394.97;0;394.97
ENT2024-00288;Carmen;Hidalgo;Laptop HP 15;;Postpago;2024-12-04;Chorrillos;Vendedor 40;carmen.hidalgo@entel.pe;Sin promo;1300.09;0.5;650.04
ENT2024-00289;Natalia;  Díaz  ;iPhone 15;Postpago 100GB;Postpago;2024-08-16;  Villa El Salvador  ;Vendedor 44;natalia.díaz@entel.pe;Sin promo;1857.09;0;1857.09
ENT2024-00290;  Natalia  ;  Cruzado  ;Samsung Galaxy S24;Hogar Fibra 200Mbps;Hogar;2024-04-29;Cercado de Lima;Vendedor 14;natalia.cruzado@entel.pe;Sin promo;1875.9;0.5;937.95
ENT2024-00291;Andrés;Paredes;Huawei P60;;Empresa;2024-10-22;Villa El Salvador;Vendedor 50;andrés.paredes2@entel.pe;Bonificación 50GB;7671.87;0.5;3835.94
ENT2024-00292;Natalia;Castillo;Xiaomi Redmi Note 13;Prepago 10GB;Hogar;2024-06-02;San Martín de Porres;Vendedor 04;natalia.castillo@entel.pe;Descuento 20%;1752.31;0.2;1401.85
ENT2024-00293;Alvaro;Mejía;iPhone 14;Hogar Fibra 500Mbps;Postpago;25/06/2024;Villa María del Triunfo;Vendedor 43;alvaro.mejía@entel.pe;Roaming gratis 1 mes;2394.77;0;2394.77
ENT2024-00294;Gloria;Salazar;Router 5G Entel;Hogar Fibra 200Mbps;Hogar;2024-03-17;Comas;Vendedor 25;gloria.salazar@entel.pe;Descuento 20%;982.27;0;982.27
ENT2024-00295;Nahuel;  Vega  ;Xiaomi 13T;Prepago 10GB;Prepago;02/06/2024;Los Olivos;Vendedor 10;nahuel.vega@entel.pe;Instalación gratis;120.54;0;120.54
ENT2024-00296;José;  Ortega  ;iPhone 14;Hogar Fibra 200Mbps;Prepago;2024-07-17;  Jesús María  ;Vendedor 17;josé.ortega2@entel.pe;Descuento 50% en 3 meses;288.48;0.5;144.24
ENT2024-00297;Ricardo;  Tapia  ;iPhone 15;Hogar Fibra 500Mbps;Empresa;2024-02-17;Cercado de Lima;Vendedor 47;ricardo.tapia@entel.pe;Descuento 50% en 3 meses;3163.42;0;3163.42
ENT2024-00298;José;Suárez;iPhone 14;Postpago 50GB;Postpago;2024-04-06;  Ate  ;Vendedor 47;josé.suárez@entel.pe;Descuento 50% en 3 meses;1582.85;0;1582.85
ENT2024-00299;Andrea;Díaz;Tablet Samsung Tab A8;Empresa 200GB;Empresa;2024-01-08;San Borja;Vendedor 13;andrea.díaz@entel.pe;Mes gratis;7217.9;0.1;6496.11
ENT2024-00300;  Renzo  ;Salgado;Xiaomi 13T;Prepago 10GB;Prepago;2024-07-22;Jesús María;Vendedor 36;renzo.salgado@entel.pe;Bonificación 50GB;371.5;0.2;297.2
ENT2024-00301;  Marco  ;Mendoza;iPhone 14;Hogar Fibra 500Mbps;Empresa;06/06/2024;  San Martín de Porres  ;Vendedor 24;marco.mendoza3@entel.pe;Instalación gratis;7590.42;0.5;3795.21
ENT2024-00302;  Pablo  ;Ramírez;Laptop HP 15;Hogar Fibra 500Mbps;Empresa;14/04/2024;San Juan de Lurigancho;Vendedor 21;;Roaming gratis 1 mes;6499.92;0.5;3249.96
ENT2024-00303;Carlos;  Carrasco  ;Tablet Samsung Tab A8;Prepago 10GB;Prepago;2024-01-09;San Martín de Porres;Vendedor 36;carlos.carrasco@entel.pe;Roaming gratis 1 mes;366.42;0.2;293.14
ENT2024-00304;Rosa;Vargas;Motorola Moto G54;Empresa 200GB;Prepago;2024-07-13;  Ate  ;Vendedor 16;rosa.vargas@entel.pe;Instalación gratis;135.01;0.5;67.5
ENT2024-00305;Sandra;Tapia;Router 4G Entel;Empresa 200GB;Empresa;2024-09-07;  El Agustino  ;Vendedor 42;sandra.tapia@entel.pe;Instalación gratis;3826.11;0.2;3060.89
ENT2024-00306;  Pablo  ;Hernández;Router 5G Entel;Empresa 200GB;Prepago;12/03/2024;  El Agustino  ;Vendedor 35;pablo.hernández@entel.pe;Instalación gratis;223.91;0.1;201.52
ENT2024-00307;  Ana  ;  Vega  ;Router 4G Entel;Postpago 50GB;Postpago;2024-02-08;  Surquillo  ;Vendedor 04;ana.vega@entel.pe;Sin promo;1199.94;0;1199.94
ENT2024-00308;Gonzalo;  Flores  ;Tablet Samsung Tab A8;Prepago 10GB;Postpago;2024-12-28;Santiago de Surco;Vendedor 01;gonzalo.flores@entel.pe;Descuento 50% en 3 meses;2992.63;0.5;1496.32
ENT2024-00309;Patricia;Arias;Samsung A54;Postpago 50GB;Hogar;2024-12-03;Magdalena del Mar;Vendedor 02;patricia.arias@entel.pe;;898.81;0.1;808.93
ENT2024-00310;Mónica;Ortega;iPhone 14;Postpago 50GB;Postpago;2024-09-28;El Agustino;Vendedor 18;mónica.ortega@entel.pe;2x1 accesorios;1079.03;0.5;539.52
ENT2024-00311;Luis;  Paredes  ;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Prepago;2024-02-24;  La Molina  ;Vendedor 34;luis.paredes@entel.pe;Descuento 20%;100.09;0;100.09
ENT2024-00312;Natalia;Rojas;Infinix Note 40;Prepago 30GB;Empresa;2024-05-16;Callao;Vendedor 06;natalia.rojas2@entel.pe;Bonificación 50GB;7612.76;0.1;6851.48
ENT2024-00313;Esteban;Arias;Infinix Note 40;Prepago 10GB;Prepago;02/06/2024;  Surquillo  ;Vendedor 06;esteban.arias@entel.pe;Sin promo;415.82;0;415.82
ENT2024-00314;Miguel;Chávez;;Hogar Fibra 200Mbps;Hogar;2024-01-29;Villa María del Triunfo;Vendedor 01;miguel.chávez2@entel.pe;Descuento 20%;1876.47;0.5;938.24
ENT2024-00315;  Miguel  ;Navarro;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Empresa;2024-10-16;La Molina;Vendedor 34;;Sin promo;7120.95;0.2;5696.76
ENT2024-00316;Sofía;Díaz;Tablet Samsung Tab A8;Hogar Fibra 500Mbps;Empresa;2024-01-24;  San Isidro  ;Vendedor 44;sofía.díaz@entel.pe;2x1 accesorios;5451.8;0.1;4906.62
ENT2024-00317;  Mónica  ;Carrasco;Router 4G Entel;Postpago 50GB;Prepago;2024-06-10;Lima;Vendedor 14;mónica.carrasco@entel.pe;Descuento 20%;206.93;0.1;186.24
ENT2024-00318;Nahuel;Fajardo;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Postpago;2024-06-02;  Barranco  ;Vendedor 37;nahuel.fajardo@entel.pe;Descuento 50% en 3 meses;1582.86;0.5;791.43
ENT2024-00319;Marisol;  Huaman  ;Router 4G Entel;Empresa 200GB;Hogar;2024-03-12;  Los Olivos  ;Vendedor 47;marisol.huaman2@entel.pe;;1804.22;0.1;1623.8
ENT2024-00320;  Patricia  ;Cruzado;Samsung A54;Postpago 50GB;Postpago;2024-08-11;Jesús María;Vendedor 05;patricia.cruzado@entel.pe;Bonificación 50GB;1143.37;0;1143.37
ENT2024-00321;Beatriz;  Molina  ;;Hogar Fibra 200Mbps;Empresa;2024-01-16;Villa María del Triunfo;Vendedor 18;beatriz.molina@entel.pe;Instalación gratis;6063.68;0;6063.68
ENT2024-00322;  Laura  ;  Cruz  ;Samsung A54;Hogar Fibra 200Mbps;Hogar;2024-04-05;Surquillo;Vendedor 38;laura.cruz@entel.pe;;966.34;0.2;773.07
ENT2024-00323;Miguel;Molina;Infinix Note 40;Prepago 30GB;Prepago;2024-12-31;San Isidro;Vendedor 06;miguel.molina@entel.pe;2x1 accesorios;284.93;0;284.93
ENT2024-00324;Daniel;  Huaman  ;;Postpago Ilimitado;Hogar;2024-06-11;  San Juan de Lurigancho  ;Vendedor 07;daniel.huaman@entel.pe;Mes gratis;1822.87;0;1822.87
ENT2024-00325;Juan;Castillo;Xiaomi 13T;Empresa 200GB;Empresa;2024-02-22;Santiago de Surco;Vendedor 06;juan.castillo@entel.pe;Descuento 20%;3786.97;0.5;1893.48
ENT2024-00326;  Iván  ;  Soto  ;Oppo Reno10;Hogar Fibra 200Mbps;Postpago;2024-01-14;  San Isidro  ;Vendedor 23;iván.soto@entel.pe;;2552.15;0.2;2041.72
ENT2024-00327;Beatriz;  Cáceres  ;Laptop HP 15;Empresa 200GB;Hogar;2024-01-07;Comas;Vendedor 27;;Roaming gratis 1 mes;1417.87;0.1;1276.08
ENT2024-00328;Marco;Pérez;;Prepago 10GB;Prepago;2024-12-16;Callao;Vendedor 11;marco.pérez@entel.pe;Descuento 20%;298.57;0.1;268.71
ENT2024-00329;Verónica;Castillo;Huawei P60;Hogar Fibra 500Mbps;Prepago;2024-02-02;Barranco;Vendedor 28;verónica.castillo@entel.pe;2x1 accesorios;189.52;0.5;94.76
ENT2024-00330;Gonzalo;Castillo;Xiaomi 13T;Postpago 100GB;Empresa;2024-05-08;  Jesús María  ;Vendedor 47;gonzalo.castillo@entel.pe;Instalación gratis;4418.49;0.5;2209.24
ENT2024-00331;Beatriz;Luna;Motorola Moto G54;Hogar Fibra 500Mbps;Postpago;2024-03-10;Comas;Vendedor 01;beatriz.luna@entel.pe;Roaming gratis 1 mes;1786.79;0;1786.79
ENT2024-00332;Ricardo;Luna;iPhone 14;Empresa 200GB;Hogar;2024-06-20;  Chorrillos  ;Vendedor 42;ricardo.luna@entel.pe;Descuento 20%;1206.39;0;1206.39
ENT2024-00333;  Elena  ;Salazar;Infinix Note 40;Prepago 10GB;Hogar;2024-06-09;Barranco;Vendedor 26;elena.salazar@entel.pe;Bonificación 50GB;995.37;0.2;796.3
ENT2024-00334;Rosa;  Cruzado  ;Router 5G Entel;Hogar Fibra 500Mbps;Prepago;15/06/2024;  Callao  ;Vendedor 18;rosa.cruzado@entel.pe;Roaming gratis 1 mes;289.06;0.5;144.53
ENT2024-00335;Héctor;Torres;Infinix Note 40;Prepago 10GB;Prepago;2024-12-15;Cercado de Lima;Vendedor 02;héctor.torres@entel.pe;Instalación gratis;281;0.1;252.9
ENT2024-00336;Felipe;  Díaz  ;Xiaomi 13T;Prepago 30GB;Postpago;2024-07-28;Surquillo;Vendedor 32;felipe.díaz@entel.pe;Descuento 20%;2903.41;0;2903.41
ENT2024-00337;Alvaro;  Castillo  ;Motorola Moto G54;Prepago 30GB;Prepago;2024-08-04;Callao;Vendedor 05;alvaro.castillo2@entel.pe;Instalación gratis;222.56;0.2;178.05
ENT2024-00338;Beatriz;Herrera;Infinix Note 40;Hogar Fibra 200Mbps;Hogar;05/10/2024;Miraflores;Vendedor 24;beatriz.herrera@entel.pe;Mes gratis;1584.19;0.5;792.1
ENT2024-00339;Pedro;Molina;Motorola Moto G54;Empresa 200GB;Prepago;2024-11-27;  Villa El Salvador  ;Vendedor 03;pedro.molina@entel.pe;Roaming gratis 1 mes;425.86;0.5;212.93
ENT2024-00340;Nahuel;  Medina  ;Laptop HP 15;Hogar Fibra 200Mbps;Postpago;2024-01-06;  La Molina  ;Vendedor 17;nahuel.medina@entel.pe;Descuento 50% en 3 meses;1835.94;0.5;917.97
ENT2024-00341;  Patricia  ;Cruzado;Oppo Reno10;Prepago 10GB;Hogar;2024-07-10;Callao;Vendedor 30;patricia.cruzado2@entel.pe;Descuento 20%;1916.6;0.1;1724.94
ENT2024-00342;Raúl;Rodríguez;Xiaomi 13T;Postpago 100GB;Empresa;2024-07-31;  San Isidro  ;Vendedor 08;raúl.rodríguez@entel.pe;Descuento 20%;6971.29;0.2;5577.03
ENT2024-00343;Raúl;Castillo;Samsung A54;Hogar Fibra 500Mbps;Prepago;2024-09-23;  Magdalena del Mar  ;Vendedor 23;raúl.castillo2@entel.pe;Instalación gratis;438.85;0.1;394.96
ENT2024-00344;Pedro;  Soto  ;Router 5G Entel;Hogar Fibra 500Mbps;Empresa;2024-02-04;Comas;Vendedor 03;pedro.soto2@entel.pe;Mes gratis;6331.28;0.1;5698.15
ENT2024-00345;  Luis  ;  Medina  ;Router 4G Entel;Postpago 100GB;Prepago;2024-05-04;  Lince  ;Vendedor 12;luis.medina@entel.pe;Descuento 20%;184.22;0;184.22
ENT2024-00346;  Ricardo  ;  Ortega  ;;Hogar Fibra 500Mbps;Prepago;2024-07-26;Villa María del Triunfo;Vendedor 12;ricardo.ortega@entel.pe;Descuento 20%;284.51;0;284.51
ENT2024-00347;Alvaro;  Ponce  ;iPhone 14;Hogar Fibra 200Mbps;Postpago;10/11/2024;San Borja;Vendedor 29;alvaro.ponce@entel.pe;Roaming gratis 1 mes;2406.47;0.2;1925.18
ENT2024-00348;Óscar;García;Router 5G Entel;Prepago 10GB;Prepago;2024-05-22;Los Olivos;Vendedor 05;óscar.garcía@entel.pe;Mes gratis;114.72;0.2;91.78
ENT2024-00349;Mónica;Sánchez;Samsung A54;Empresa 200GB;Prepago;2024-08-22;  La Molina  ;Vendedor 17;mónica.sánchez@entel.pe;Instalación gratis;123.5;0.2;98.8
ENT2024-00350;Gloria;Pizarro;Samsung A54;Hogar Fibra 200Mbps;Hogar;2024-10-27;La Molina;Vendedor 23;gloria.pizarro@entel.pe;Bonificación 50GB;1850.17;0.2;1480.14
ENT2024-00351;Pablo;  Luna  ;Xiaomi Redmi Note 13;Prepago 30GB;Postpago;2024-12-10;Santiago de Surco;Vendedor 21;pablo.luna@entel.pe;Mes gratis;1295.36;0.5;647.68
ENT2024-00352;Natalia;Castillo;iPhone 15;Postpago Ilimitado;Empresa;21/12/2024;Santiago de Surco;Vendedor 33;natalia.castillo2@entel.pe;Roaming gratis 1 mes;7991.13;0;7991.13
ENT2024-00353;Gonzalo;Cáceres;Xiaomi Redmi Note 13;Hogar Fibra 200Mbps;Hogar;2024-04-05;Magdalena del Mar;Vendedor 41;gonzalo.cáceres@entel.pe;Descuento 20%;951.33;0.2;761.06
ENT2024-00354;  Sandra  ;  Hernández  ;Xiaomi 13T;Prepago 30GB;Prepago;2024-04-05;Carabayllo;Vendedor 29;sandra.hernández@entel.pe;Sin promo;389.11;0.1;350.2
ENT2024-00355;Raúl;García;Xiaomi 13T;Postpago Ilimitado;Prepago;2024-07-15;  Cercado de Lima  ;Vendedor 33;raúl.garcía@entel.pe;Instalación gratis;212.99;0.5;106.5
ENT2024-00356;Gonzalo;Mejía;Xiaomi 13T;Hogar Fibra 200Mbps;Hogar;07/09/2024;  Barranco  ;Vendedor 06;gonzalo.mejía@entel.pe;Sin promo;1199.27;0.1;1079.34
ENT2024-00357;  Nahuel  ;Cruz;Huawei P60;Postpago 50GB;Empresa;2024-04-25;Cercado de Lima;Vendedor 19;nahuel.cruz@entel.pe;Descuento 20%;4599.75;0.1;4139.78
ENT2024-00358;Marco;Arias;Infinix Note 40;;Postpago;2024-10-20;La Molina;Vendedor 18;marco.arias@entel.pe;Bonificación 50GB;1478.51;0.2;1182.81
ENT2024-00359;Mónica;Salgado;Samsung Galaxy S24;Hogar Fibra 500Mbps;Prepago;05/08/2024;La Molina;Vendedor 48;mónica.salgado2@entel.pe;Descuento 50% en 3 meses;292.64;0.2;234.11
ENT2024-00360;Elena;  López  ;Xiaomi 13T;Prepago 30GB;Empresa;2024-02-14;Pueblo Libre;Vendedor 08;elena.lópez@entel.pe;Descuento 50% en 3 meses;5049.4;0;5049.4
ENT2024-00361;Lucía;Cruzado;Infinix Note 40;Empresa 200GB;Hogar;2024-03-25;Villa El Salvador;Vendedor 09;lucía.cruzado@entel.pe;Descuento 50% en 3 meses;1915.85;0.2;1532.68
ENT2024-00362;Lucía;  González  ;Infinix Note 40;Empresa 200GB;Empresa;2024-11-01;  Cercado de Lima  ;Vendedor 11;lucía.gonzález@entel.pe;Bonificación 50GB;6341.35;0.5;3170.68
ENT2024-00363;Felipe;Mendoza;Huawei P60;Prepago 30GB;Postpago;10/03/2024;Chorrillos;Vendedor 04;felipe.mendoza@entel.pe;2x1 accesorios;2343.28;0.5;1171.64
ENT2024-00364;Raquel;Flores;Router 5G Entel;Postpago Ilimitado;Prepago;2024-03-15;Los Olivos;Vendedor 21;raquel.flores@entel.pe;Descuento 50% en 3 meses;391.75;0.2;313.4
ENT2024-00365;Nahuel;Mejía;iPhone 14;Hogar Fibra 500Mbps;Prepago;22/10/2024;  Villa María del Triunfo  ;Vendedor 18;nahuel.mejía2@entel.pe;Roaming gratis 1 mes;221.02;0.5;110.51
ENT2024-00366;Óscar;Soto;iPhone 15;Postpago 100GB;Hogar;2024-09-20;El Agustino;Vendedor 18;óscar.soto@entel.pe;Bonificación 50GB;1650.93;0;1650.93
ENT2024-00367;Pablo;Navarro;Samsung A54;Postpago 50GB;Postpago;22/08/2024;Villa María del Triunfo;Vendedor 43;pablo.navarro@entel.pe;Bonificación 50GB;2791.18;0.2;2232.94
ENT2024-00368;  Diego  ;Vega;iPhone 14;Prepago 10GB;Hogar;2024-04-18;Magdalena del Mar;Vendedor 18;diego.vega2@entel.pe;Bonificación 50GB;1587.42;0.2;1269.94
ENT2024-00369;Rosa;  Medina  ;Oppo Reno10;Postpago Ilimitado;Hogar;24/06/2024;  Surquillo  ;Vendedor 49;rosa.medina@entel.pe;Sin promo;1237.05;0.2;989.64
ENT2024-00370;Carlos;  Ramírez  ;Router 4G Entel;Hogar Fibra 500Mbps;Postpago;2024-03-04;Barranco;Vendedor 29;carlos.ramírez@entel.pe;Instalación gratis;1781.59;0.5;890.8
ENT2024-00371;  Juan  ;  Peña  ;Motorola Moto G54;Postpago Ilimitado;Empresa;22/03/2024;San Martín de Porres;Vendedor 06;juan.pena@entel.pe;Bonificación 50GB;4725.43;0.1;4252.89
ENT2024-00372;  Paola  ;Pérez;Samsung A54;Postpago Ilimitado;Postpago;2024-07-21;  Villa María del Triunfo  ;Vendedor 20;paola.pérez@entel.pe;Descuento 50% en 3 meses;1097.82;0.1;988.04
ENT2024-00373;Iván;  Tapia  ;iPhone 15;Postpago 100GB;Postpago;19/04/2024;Magdalena del Mar;Vendedor 05;iván.tapia@entel.pe;Descuento 20%;2682.24;0.1;2414.02
ENT2024-00374;Claudia;Cruz;Oppo Reno10;Hogar Fibra 500Mbps;Postpago;2024-01-05;  Los Olivos  ;Vendedor 22;claudia.cruz@entel.pe;Mes gratis;2607.25;0.5;1303.62
ENT2024-00375;  Iván  ;De la Cruz;Xiaomi Redmi Note 13;Hogar Fibra 500Mbps;Postpago;2024-04-27;Callao;Vendedor 06;iván.delacruz@entel.pe;Mes gratis;1779.12;0.2;1423.3
ENT2024-00376;Pedro;  Salazar  ;Samsung A54;Prepago 30GB;Prepago;2024-07-14;  Santiago de Surco  ;Vendedor 42;pedro.salazar@entel.pe;;425.01;0.1;382.51
ENT2024-00377;Diego;Reyes;Infinix Note 40;Postpago 50GB;Prepago;13/08/2024;San Juan de Lurigancho;Vendedor 47;diego.reyes@entel.pe;Descuento 50% en 3 meses;285.4;0;285.4
ENT2024-00378;Alvaro;Cruzado;Xiaomi Redmi Note 13;Hogar Fibra 200Mbps;Hogar;2024-04-21;San Isidro;Vendedor 07;alvaro.cruzado@entel.pe;Descuento 20%;1959.86;0.2;1567.89
ENT2024-00379;Nahuel;Torres;Infinix Note 40;Hogar Fibra 200Mbps;Empresa;2024-08-07;Carabayllo;Vendedor 09;nahuel.torres@entel.pe;Descuento 50% en 3 meses;6918.62;0.2;5534.9
ENT2024-00380;  Verónica  ;Tapia;iPhone 15;Prepago 10GB;Empresa;2024-12-19;Lima;Vendedor 43;verónica.tapia@entel.pe;2x1 accesorios;7312.87;0;7312.87
ENT2024-00381;Lucía;Reyes;Infinix Note 40;Prepago 10GB;Hogar;31/05/2024;  Villa María del Triunfo  ;Vendedor 04;lucía.reyes@entel.pe;Descuento 50% en 3 meses;1339.53;0.1;1205.58
ENT2024-00382;Laura;  Huaman  ;iPhone 15;Prepago 10GB;Hogar;2024-11-22;  Villa El Salvador  ;Vendedor 05;laura.huaman@entel.pe;Sin promo;1778.94;0;1778.94
ENT2024-00383;Héctor;Salazar;Xiaomi Redmi Note 13;Hogar Fibra 200Mbps;Hogar;2024-07-06;Cercado de Lima;Vendedor 44;héctor.salazar@entel.pe;Descuento 20%;1694.34;0;1694.34
ENT2024-00384;  Nahuel  ;Herrera;Laptop HP 15;Postpago 100GB;Postpago;2024-10-27;San Isidro;Vendedor 01;nahuel.herrera@entel.pe;2x1 accesorios;2414.77;0;2414.77
ENT2024-00385;Lucía;López;Samsung Galaxy S24;Hogar Fibra 200Mbps;Empresa;2024-11-17;Los Olivos;Vendedor 33;lucía.lópez@entel.pe;Roaming gratis 1 mes;6292.02;0.5;3146.01
ENT2024-00386;  Iván  ;De la Cruz;iPhone 14;;Prepago;2024-05-22;San Isidro;Vendedor 20;;Mes gratis;483.23;0.5;241.62
ENT2024-00387;Patricia;Díaz;Laptop HP 15;Postpago Ilimitado;Empresa;2024-07-19;Ate;Vendedor 41;patricia.díaz@entel.pe;Mes gratis;6757.57;0.2;5406.06
ENT2024-00388;Elena;  De la Cruz  ;iPhone 14;Prepago 10GB;Postpago;2024-05-05;San Isidro;Vendedor 28;elena.delacruz@entel.pe;Mes gratis;2736.27;0.5;1368.14
ENT2024-00389;Pablo;Luna;Infinix Note 40;Postpago 50GB;Empresa;2024-12-07;  El Agustino  ;Vendedor 43;pablo.luna2@entel.pe;Descuento 20%;3919.81;0;3919.81
ENT2024-00390;Jorge;García;Router 5G Entel;Postpago Ilimitado;Postpago;2024-03-24;  Magdalena del Mar  ;Vendedor 23;jorge.garcía@entel.pe;2x1 accesorios;2738.35;0.5;1369.18
ENT2024-00391;  María  ;Quispe;Xiaomi Redmi Note 13;Prepago 30GB;Postpago;2024-01-16;Carabayllo;Vendedor 28;maría.quispe2@entel.pe;2x1 accesorios;1328.36;0.2;1062.69
ENT2024-00392;Gloria;Martínez;Huawei P60;Postpago 100GB;Hogar;2024-08-21;Lince;Vendedor 24;gloria.martínez@entel.pe;Sin promo;1100.72;0.2;880.58
ENT2024-00393;Laura;Carrasco;Xiaomi Redmi Note 13;Empresa 200GB;Prepago;2024-05-10;La Molina;Vendedor 37;laura.carrasco@entel.pe;Mes gratis;137.29;0.1;123.56
ENT2024-00394;  Sofía  ;  Cruzado  ;Oppo Reno10;;Postpago;2024-01-07;Jesús María;Vendedor 03;sofía.cruzado@entel.pe;;2751.04;0;2751.04
ENT2024-00395;  Héctor  ;Huaman;Xiaomi Redmi Note 13;Postpago Ilimitado;Postpago;2024-10-10;Los Olivos;Vendedor 48;héctor.huaman@entel.pe;Roaming gratis 1 mes;1669.11;0;1669.11
ENT2024-00396;Sofía;Salazar;Motorola Moto G54;Hogar Fibra 200Mbps;Empresa;2024-05-18;San Isidro;Vendedor 37;sofía.salazar@entel.pe;Bonificación 50GB;3210.13;0.2;2568.1
ENT2024-00397;Jorge;  Paredes  ;Router 4G Entel;Postpago 50GB;Prepago;2024-04-24;Lince;Vendedor 03;jorge.paredes@entel.pe;Roaming gratis 1 mes;156.14;0.5;78.07
ENT2024-00398;Diego;Arias;Tablet Samsung Tab A8;Prepago 30GB;Empresa;2024-06-16;San Isidro;Vendedor 36;diego.arias@entel.pe;Instalación gratis;5563.92;0;5563.92
ENT2024-00399;Juan;Quispe;Motorola Moto G54;Prepago 30GB;Empresa;2024-11-14;Jesús María;Vendedor 30;juan.quispe@entel.pe;Bonificación 50GB;5476.79;0.1;4929.11
ENT2024-00400;Claudia;Navarro;Laptop HP 15;Prepago 10GB;Prepago;18/03/2024;Lima;Vendedor 27;claudia.navarro@entel.pe;Sin promo;211.14;0;211.14
ENT2024-00401;Sofía;Vega;Samsung A54;Postpago 50GB;Empresa;2024-01-01;Surquillo;Vendedor 25;sofía.vega@entel.pe;2x1 accesorios;4011.28;0;4011.28
ENT2024-00402;Pedro;Díaz;Oppo Reno10;Prepago 10GB;Hogar;2024-09-08;Miraflores;Vendedor 10;pedro.díaz@entel.pe;2x1 accesorios;1016.62;0.2;813.3
ENT2024-00403;Miguel;López;Motorola Moto G54;Hogar Fibra 200Mbps;Empresa;2024-08-22;El Agustino;Vendedor 06;miguel.lópez@entel.pe;Mes gratis;3192.25;0;3192.25
ENT2024-00404;Patricia;Flores;Router 4G Entel;Hogar Fibra 200Mbps;Postpago;2024-10-30;Ate;Vendedor 04;patricia.flores@entel.pe;Roaming gratis 1 mes;1018.45;0.1;916.6
ENT2024-00405;  Bruno  ;Flores;Motorola Moto G54;Prepago 30GB;Empresa;2024-06-10;Callao;Vendedor 45;bruno.flores@entel.pe;Bonificación 50GB;4803.64;0;4803.64
ENT2024-00406;Fernando;Soto;Huawei P60;Prepago 10GB;Postpago;13/04/2024;Santiago de Surco;Vendedor 50;fernando.soto@entel.pe;Mes gratis;1685.93;0;1685.93
ENT2024-00407;  Daniel  ;Ramírez;Xiaomi Redmi Note 13;Hogar Fibra 500Mbps;Hogar;2024-06-09;Chorrillos;Vendedor 08;daniel.ramírez@entel.pe;Bonificación 50GB;1537.85;0;1537.85
ENT2024-00408;Marco;Díaz;Xiaomi 13T;Prepago 30GB;Hogar;2024-05-15;  La Molina  ;Vendedor 06;marco.díaz@entel.pe;Descuento 20%;1204.62;0.1;1084.16
ENT2024-00409;Emilio;Castillo;Tablet Samsung Tab A8;Postpago 50GB;Prepago;2024-06-16;  Santiago de Surco  ;Vendedor 06;emilio.castillo@entel.pe;Descuento 50% en 3 meses;141.84;0;141.84
ENT2024-00410;Raúl;  Chávez  ;Oppo Reno10;Postpago 50GB;Empresa;13/05/2024;Barranco;Vendedor 02;raúl.chávez@entel.pe;Roaming gratis 1 mes;6857.84;0.1;6172.06
ENT2024-00411;Martín;  Ortega  ;Router 5G Entel;Prepago 10GB;Postpago;2024-08-24;La Molina;Vendedor 09;martín.ortega@entel.pe;Mes gratis;2938.55;0.5;1469.28
ENT2024-00412;Juan;González;Tablet Samsung Tab A8;Prepago 10GB;Prepago;2024-04-11;Callao;Vendedor 24;juan.gonzález@entel.pe;Mes gratis;180.69;0.5;90.34
ENT2024-00413;Claudia;Olivares;Huawei P60;Postpago 100GB;Postpago;2024-02-03;San Borja;Vendedor 42;claudia.olivares@entel.pe;Instalación gratis;1295.61;0.5;647.8
ENT2024-00414;Andrés;Pérez;Tablet Samsung Tab A8;;Postpago;2024-01-22;Pueblo Libre;Vendedor 04;andrés.pérez@entel.pe;Descuento 20%;2360.71;0.1;2124.64
ENT2024-00415;  Marisol  ;Peña;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Hogar;2024-01-16;Callao;Vendedor 44;marisol.pena@entel.pe;Roaming gratis 1 mes;1829.33;0.2;1463.46
ENT2024-00416;Ana;Benítez;Motorola Moto G54;Postpago Ilimitado;Empresa;2024-05-23;Pueblo Libre;Vendedor 10;ana.benítez@entel.pe;Sin promo;6720.26;0.2;5376.21
ENT2024-00417;Camila;Luna;Infinix Note 40;Prepago 10GB;Empresa;2024-09-12;Chorrillos;Vendedor 36;camila.luna@entel.pe;Instalación gratis;4367.23;0.5;2183.61
